source,target,value
5574,10295,942102740000.0
5574,10296,655922230000.0
5574,10297,681367760000.0
5574,10298,1310493600000.0
5574,10299,804433560000.0
5574,10300,461681620000.0
5574,10302,627350600000.0
5574,10310,585532000000.0
5574,10317,522631500000.0
5574,10390,505969900000.0
5574,10553,457228520000.0
5574,10601,564224660000.0
5574,10783,469711980000.0
5574,10945,464273600000.0
5574,10946,758881600000.0
5574,10947,506302230000.0
5574,10950,794131400000.0
5574,11042,560117650000.0
5574,11101,610909400000.0
5574,11272,573924900000.0
5574,11276,616569000000.0
5574,11324,467954760000.0
5574,11368,769468800000.0
5574,11382,506357870000.0
5574,11398,468847720000.0
5574,11565,512714800000.0
5574,11584,982080750000.0
5574,11638,531519080000.0
5574,11640,586281250000.0
5574,11641,487714800000.0
5574,11644,573452000000.0
5574,11648,493438760000.0
5574,11650,657008700000.0
5574,11652,596624300000.0
5574,11694,672877100000.0
5574,11769,477946840000.0
5574,11857,707170530000.0
5574,11976,566911900000.0
5574,11978,491566040000.0
5574,12087,493055540000.0
5574,12139,464479650000.0
5574,12183,541070070000.0
5574,12242,520959560000.0
5574,12702,471984280000.0
5574,12721,531080150000.0
5574,12869,524967800000.0
5574,12896,863932100000.0
5574,12898,502117860000.0
5574,12899,538936970000.0
5574,12901,714189050000.0
5574,12902,923993800000.0
5574,12903,663975400000.0
5574,12904,481955970000.0
5574,12905,519179730000.0
5574,12906,888864200000.0
5574,12907,596033300000.0
5574,12908,463003100000.0
5574,12910,552921330000.0
5574,13028,587741660000.0
5574,13280,1007172060000.0
5574,13377,468748600000.0
5574,13386,708292300000.0
5574,13420,879775250000.0
5574,13424,834565640000.0
5574,13426,541084700000.0
5574,13487,1573969600000.0
5574,13501,537719240000.0
5574,13587,599376130000.0
5574,13976,538158900000.0
5574,14201,688917840000.0
5574,14206,1006152000000.0
5574,14207,531347050000.0
5574,14208,506865800000.0
5574,14209,661035800000.0
5574,14210,1039607460000.0
5574,14232,897209700000.0
5574,14282,848622850000.0
5574,14301,534883660000.0
5574,14308,628748850000.0
5574,14690,532131350000.0
5574,14693,525755550000.0
5574,14695,640310840000.0
5574,14699,493712100000.0
5574,14747,832331400000.0
5574,14749,551526000000.0
5574,14762,533573800000.0
5574,14797,517370680000.0
5574,14954,609442860000.0
5574,14960,593626800000.0
5574,15010,674055200000.0
5574,15117,831857950000.0
5574,15234,790417600000.0
5574,15236,1063659600000.0
5574,15238,816584850000.0
5574,15414,549877650000.0
5574,15443,573598800000.0
5574,15449,645210830000.0
5574,15562,641525000000.0
5574,15606,946258000000.0
5574,15689,691657000000.0
5574,15932,837824000000.0
5574,16258,646857800000.0
5574,16421,1119324500000.0
5574,16540,640249760000.0
5574,16680,577429500000.0
5574,16684,701057340000.0
5574,16747,457222880000.0
5574,16753,620738840000.0
5574,16910,805267050000.0
5574,17029,491094670000.0
5574,17301,465784500000.0
5574,17302,548413100000.0
5574,17303,1062548800000.0
5574,17304,655974470000.0
5574,17305,587564700000.0
5574,17306,738805940000.0
5574,17307,1072490550000.0
5574,17308,561721900000.0
5574,17329,641285550000.0
5574,17355,687257300000.0
5574,17379,713393240000.0
5574,17405,558986100000.0
5574,17489,702080750000.0
5574,17491,759446000000.0
5574,17516,525079400000.0
5574,17562,527050300000.0
5574,17624,578406450000.0
5574,17625,760040850000.0
5574,17631,484233380000.0
5574,17634,616308000000.0
5574,17635,514035600000.0
5574,17636,719588600000.0
5574,17637,798271340000.0
5574,17725,694113500000.0
5574,17771,499876920000.0
5574,17787,576934200000.0
5574,17796,720190640000.0
5574,17950,500048820000.0
5574,17960,488391540000.0
5574,17963,761602800000.0
5574,17988,598476900000.0
5574,18051,763628200000.0
5574,18057,704513640000.0
5574,19531,659144640000.0
5574,20395,741204560000.0
5574,20399,807986300000.0
5574,20400,925730340000.0
5574,20402,732677000000.0
5574,20404,747064460000.0
5574,20405,805951700000.0
5574,20406,547396880000.0
5574,20496,1477870500000.0
5574,21355,465584360000.0
5574,21862,475217700000.0
5574,21866,1007952860000.0
5574,21867,1092069300000.0
5574,21868,894451450000.0
5574,21869,620027900000.0
5574,21870,614449100000.0
5574,21871,1589037900000.0
5574,21872,981695400000.0
5574,21917,589213300000.0
5574,21919,842762400000.0
5574,21921,1004110800000.0
5574,21963,1029866260000.0
5574,22169,478745560000.0
5574,22289,502586050000.0
5574,22508,1015313860000.0
5574,22615,1629276100000.0
5574,22844,606064540000.0
5574,22847,504079100000.0
5574,22849,793777600000.0
5574,22850,695981800000.0
5574,22946,508394500000.0
5574,22951,512906200000.0
5574,22955,564468600000.0
5574,22974,592057100000.0
5574,23007,706856700000.0
5574,23008,784410300000.0
5574,23009,610904900000.0
5574,23010,765123700000.0
5574,23012,885320060000.0
5574,23013,911486400000.0
5574,23104,1170659500000.0
5574,23333,688424000000.0
5574,23334,556908900000.0
5574,23336,593164960000.0
5574,23338,1026886100000.0
5574,23339,776255300000.0
5574,23919,832412900000.0
5574,24408,551766100000.0
5574,25223,503041130000.0
5574,25452,486179400000.0
5574,25457,614177640000.0
5574,25458,597862600000.0
5574,25595,547911570000.0
5574,25778,840995640000.0
5574,25779,831537350000.0
5574,25780,541089600000.0
5574,25781,677263250000.0
5574,25783,819570740000.0
5574,25784,865436100000.0
